P1:	Assalamualaikum cikgu.
C344:	Kalau tidak kita nanti, manalah ni *pro_3rd_S* tak boleh pakai dah.
C345:	Dia ada sistem, dia ada kaedah.

C346:	Tua tu asalnya Uwa, tu dia ada pak we... pak we... uwa tu lebih tua... uwa... telah uwa tu tualah.
C347:	Mengapa pinta mengapa minta... mengapa esok... mengapa besok, mengapa alah... mengapa kalah, di mana alah... di mana kalah... tetapi bahan tak mencukupi ni terpaksa yang saya tahu cuma kalau mula dengan 's' dia menunjukkan persamaan.
C348:	Kalau sini tu sama dengan situ... sama dengan sana.
C349:	Saya ada jumpa perkataan ana atau nana dalam bahagian Sanskrit... *pro_3rd_S* berada di merata tempat.
C350:	Kalau dijadikan perbuatan macam ini jadi minum... orang Jawa kata mangan.
C351:	*pro_1st_S* Lakukan makan... tetapi kalau bahan yang dimakan tu dikatakan pangan... bahan atau benda.
C352:	Jadi kalau malang tu, alang tu sekat, malang tu menjadi sekatan, palang tu benda yang diguna untuk sekat....
C353:	Daripada itu saya dapati ada perkataan sana, mana.
C354:	Perkataan mana tu berada di mana-mana, di mana.
C355:	Jadi dia ada di mana ni perkataan umum.
C356:	Kemudian tempat tu dah ditentukan sama dengan sana tu... sana.
C357:	Sana dia tempat mana... atau sana.
C358:	Kalu situ... itu, *pro_1st_S* tak boleh kata saya tinggal di rumah sana... *pro_1st_S* tak boleh... rumah situ... dan saya tinggal di situ... kerana di sana tempat tu umum... tu kadangkala ada orang kata, rumah kami tidur di KL, maknanya dia memang tidur sanalah... *pro_3rd_S* boleh.
C359:	Tetapi saya nak pergi... tujuan saya nak pergi ke KL.
C360:	Hah di situlah saya nanti akan cari pergi.
C361:	Sebab *pro_1st_S* kata nak gi KL... situ... itu... itu... ini... sini.
C362:	Banyak lagi saya jumpa perkataan itu sekarang... senang saya kumpul.
C363:	Kalau *pro_1st_S* mula dengan saya kutip dalam dictionary... *pro_3rd_S* beratus-ratus perkataan.
C364:	Kemudian *pro_1st_S* cari yang bawa makna sama.
C365:	Misalnya perkataan ambil... kalau dia lalu... dia ambil... *pro_3rd_S* sama dengan lalu tu... dia ambil.
C366:	Dia sambil... *pro_3rd_S* sambil lalu... dia melakukan sesuatu.
C367:	Daripada perkataan ambil... saya ambil.
C368:	*pro_3rd_S* Banyak lagi.
C369:	Target *pro_1st_P* akan datang, saya akan cuba... saya rasa kita banyak mengambil daripada bahasa Jawa.
C370:	Saya bodoh sejarah.
C371:	Kita ambil bahasa Jawa dan bahasa Jawa tu... dia ambil daripada bahasa kita... *pro_3rd_S* macam bahasa Srivijaya... dia ambil daripada bahasa Srivijaya.
C372:	Kemudian Melayu ambil daripada bahasa Jawa....
C373:	Majapahit dan bahasa Melayu tu pergi ke bahasa Riau.
C374:	Kemudian Indonesia ambil pulak, Indonesia lihat bahasa Melayu Riau lebih maju, dia pula ambil bahasa Melayu Riau, dia gunakan bahasa Indonesia.
C375:	Satu masa nanti, *pro_1st_S* tak tahulah, 50 tahun, 1000 tahun lagi dari sekarang kalau orang Melayu bangkit, dia jadi Melayu Rayalah.
C376:	Indonesia... dia akan gunakan bahasa Indonesia, dia tak akan gunakan bahasa Melayu Riau.
C377:	Itu pendapat saya... katalah 500 tahun lagi, Indonesia bangun haru-biru, kerajaan Malaysia jadi kerajaan kukuh, dia dapat beli Pulau-pulau Bangka, Belitong.
C378:	Dia boleh beli... apa..., Kalimantan pun dia boleh beli, dia akan jadi Melayu Raya, misalnya.
C379:	Dia akan gunakan bahasa bukanlah macam sekarang.
C380:	Dia akan gunakan bahasa Indonesia.
C381:	Sebab bahasa Indonesia sekarang ni bahasa Indonesia ambil daripada bahasa Melayu Riau.
C382:	Bahasa Melayu ambil daripada bahasa Jawa, Majapahit ambil daripada Srivijaya.
C383:	Masa Srivijaya punya empayar, Majapahit menduduki siaran di sebelah pantai Pulau Bali.
C384:	Sebab tu sebelah barat, bahasa Jawa itu terkulun.
C385:	Kulun dia ada imbuhan dalam tu.
C386:	Dia punya 'un' tu, dia ada 'u' dan 'an', laku...an----lakun, bum...an-buman, wadu...an... wadu tu kahwin, wadu tu isteri... isteri... waduan... tu makna perempuan.
C387:	Jadi perkataan kulun, ulu... an -ulun... keuluan... ini pendapat saya... saya bukan pakar bahasa Jawa... *pro_1st_S* tak reti bahasa Jawa tetapi lebih kurang daripada contoh-contoh tadi, dia mungkin keuluan jadi kulun.
C388:	Sebab dia cakap kulun tu, kerajaan Jawa ada 3/4 diri, apakah kecik-kecik di pantai sebelah sana, jadi *pro_3rd_S* datang ke ulu... bukit-bukitlah.
C389:	Bukit ululah.
C390:	Jadi *pro_3rd_S* kata kulun tu keuluan....
C391:	Kemudian *pro_3rd_S* kalah tetapi Cina... kita ambil selatan.
C392:	Selatan tu pada mulanya asalnya selat... duri... durian... rambut... rambutan, laut... lautan... darat... daratan.
C393:	Jadi selat... selatan.
C394:	Sebab tu Singapura, *pro_3rd_S* daripada Riau berlari ke arah selatan... arah selat, mesti banyak pulau-pulau....
C395:	Pulau Belitong, Riau... Bangka.
C396:	Jadi arah tu banyak selat... arah banyak selat... selatan.
C397:	Kalau *pro_3rd_S* banyak ke hulu, arah ke hulu... arah keulun.
C398:	Anak saya-pendapat saya dengan cara banding *pro_3rd_DO* ....
C399:	Sebab tu saya hendakkan kamus-kamus ni.
C400:	Bila *pro_1st_S* bercanggah pendapat satu, saya cari *pro_3rd_IO* balik.
C401:	Kemudian kalau... i bunyi i... an, dia bunyi 'en', contohnya Radin.
C402:	Radin tu daripada perkataan rak... ati... an.
C403:	Kata bahasa Jawa kata darah... adi... tinggi... an... orang darah tinggi tu rak di an... rak din... radin.
C404:	Santri, *pro_3rd_S* belajar sekolah agama tu santrilah.
C405:	Kalau tempat belajar tu dipanggil santren....
C406:	Apa saya kata ni, saya nak buktikan yang *pro_3rd_S* ada bukti.

C407:	Mamak tu pak sedara... kalau bahasa Jawa dipanggil Maman.
C408:	Pasal tu orang Melayu kita ambil perkataan maman tu untuk panggil PM, Bendahara, *pro_3rd_S* dipanggil Mamak Bendahara.
C409:	Mamak Gahara.
C410:	Hajat bin Mamandak.
C411:	Mamanda menteri gelaran Mamanda tu pak penakan.
C412:	Mak kita panggil *pro_3rd_IO* Mamak.
C413:	Orang Indonesia panggil Maman.
P414:	Tetapi ada juga beberapa orang kawan saya.
P415:	Mungkin dia dari keturunan Minangkabau.
P416:	Mungkin *pro_3rd_S* dari sekitar situlah, dia memanggil bapak sedara dia Mamak.
P417:	Dia panggil Mamak.
P418:	Ada tak panggilan tu dalam bahasa Melayu.
C419:	Mamak *pro_3rd_S* betullah.
C420:	*pro_3rd_S* Memang ada dalam bahasa Melayu.
C421:	*pro_3rd_S* Bukan bahasa Keling.
C422:	*pro_3rd_S* Bukan orang India panggil Mamak.
C423:	Tetapi Jawanya maman.
C424:	Kita ambil perkataan 'da' tu bahasa Sanskritlah.
C425:	Kalau misalnya kakangda... kekanda... 'g'nya drop.
C426:	Kalau ibung sama dengan mak... ibu atau ibung jadi ibunda, 'i' hilang jadi bunda... *pro_3rd_S* bukan bonda... *pro_3rd_S* bunda... kalau ibung... ibunda... adik... ading... adik sahaja... 'ng' drop sama juga mamang dia panggil Mamanda.
C427:	Kalau kita tahu cara beza dia.
C428:	Sebab tu benda tu saya kumpul.
C429:	5/6 benda saya cari, *pro_1st_S* bukak kamus.
C430:	Mungkin satu masa ada orang... saya teringat...
C431:	la orang buat kajian apa ni ditulis Johor kata member.
C432:	Dia punya tulisan dulu dikaji balik.
C433:	Sayid Syeikh al-Hadi, Abdullah Munsyi.
C434:	Benda tu kadangkala ada benda-benda yang boleh dianalisis balik dan digunakan.
C435:	Macam buku warisan tentang hubungan kata, tulisan Jawa... *pro_3rd_S* jadi dikaji.

C436:	Mungkin pada masa saya sekarang, saya himpun-himpun dan beritahu pada anak saya mungkin masa ni, *pro_2nd_S* nak buat tesis ke... mungkin sebab pada masa diorang nanti, banyak kemudahan ada.
C437:	Mungkin pada masa depan tu *pro_3rd_S* pakai CD aje... *pro_3rd_S* bubuh CD.
C438:	Jadi saya kutip saya simpan.
C439:	Berapa banyak bahasa Melayu yang kita silau.
C440:	Orang yang buat Kamus Dewan, ditulis perkataan tu jerigi, itu salah....
C441:	Hanya salah dalam ni, ada pengarang ambil tu.
P442:	Jadi kesalahan itu berterusan.
C443:	Perkataan jerigi tetapi orang yang banyak kelulusan belajar cara bahasa Inggeris 'gi 'bunyi 'ji', dulu ideologi, 'gi' lah, ideologi bukan, sosiologi apa semua, semua 'gi'.
C444:	Jadi geogologi dia jeiugi.
C445:	Silap tu dibuat apabila orang nak cuba buku Riau... buku bahasa Riau.
C446:	Di tu adat Semenda, adat gitu, *pro_3rd_S* macam sajak-sajak.
C447:	Daripada situ saya rasa perkataan benderang asalnya bendang.
C448:	Benderang itu ialah kata yang dihubung yang maksudnya terang benderang.
C449:	Kata dasar yang sebenarnya ialah bendang.
C450:	Bunyi 'ang' di belakang gendang... benderang....
C451:	Mungkin saya cuba cari bendang tu apa makna.
C452:	Bendang tu sawahlah.
C453:	Rupanya bendang tu bukan makna sawah.
C454:	Sawah tu tempat tanam padi.
C455:	Rupanya bendang tu yang kata laut-laut bendang-bendang.
C456:	Apa guna dian.
C457:	Dan kemudian ada salah satunya yang nyata tu bendang-bendang.
C458:	Maksudnya yang nyalanya tu bukan sikit... *pro_3rd_S* macam nyalanya yang bendang-bendanglah....
P459:	*pro_3rd_S* Menyeluruhlah ye?
C460:	Hah *pro_3rd_S* macam menyeluruh.
C461:	Jadi perkataan bendang tu maknanya meluas, menyeluruh, *pro_3rd_S* bukan sekelompok sikit.
C462:	Bila terang benderang itu maknanya.
C463:	Tetapi malangnya ada pakarlah masukkan @ perkataan berganda berubah @ berganda yang huruf ± dia jadi bmb... terang... erang ada lagi.
C464:	Jadi huruf konsonan t ditukar menjadi bend... yang sebenarnya bukan itu, dia terang... benderang... jadi terang bendang-bendanglah.
C465:	Nyala bendang-bendang.
C466:	Macam perkataan cengkang menjadi cangkerang.
C467:	Cangkerang menggunakan perkataan untuk menerangkan... *pro_3rd_S* tak lepas dah... tu yang tak bagi cangkerang.
C468:	So *pro_1st_S* bagi gendam dan genderang... genderang perkataan macam gendang tetapi cara dia lain sikit.
C469:	Itu guna sisipan yang diakhir banyak perkataan yang kata pertama tetapi yang suku kata akhir tak kurang juga... macam perkataan cenderung asalnya di tu condong... cendeng tu condong... conderung... condong menjadi cenderung... itu yang sebetulnya... itu sisipan pada suku kata akhir.
C470:	Di suku kata akhir ada sisipan tak banyak.
C471:	*pro_3rd_S* Macam gendang... genderang... condong... conderung... cengkam... cangkerang... cengkang... cangkerang... kulit cengkerang tu kulit yang cengkam... kulit yang keras.
C472:	Binatang yang kulit cangkerang, tu yang ada kulit yang kerang, kepala, siput... tu dia cangkerang.
C473:	*pro_3rd_S* Asalnya cengkang.
C474:	Bahasa yang datang dalam bahasa Jawa banyak.
C475:	la sama ada sebut ba @ bi.
C476:	Kadang banyak sebut semberot banyak tu kalau semak balik kita akan jumpa.
C477:	Itu sebab *pro_1st_S* kena buat kajian.
P478:	Saya rasa setakat tu dulu tentang kata panggilan atau sapaan dalam keluarga.
P479:	Jadi saya ucapkan ribuan terima kasih pada cikgu.
P480:	Kalau ada rezeki, panjang umur kita jumpa lagi.
C481:	Insya-Allah.
P482:	Terima kasih cikgu ye.
