A1:	Nak apa, nak buka?
A813:	Aku kalau nak kemas kang, kadang-kadang baru nak bubuh nasi.
A814:	Nak makan senang.
B815:	Orang nak makan tahulah Mak.
C816:	Ha... ah memang tahu.
C817:	Kalau rumah aku, aku yang sibuk.
C818:	Kalau rumah kau kata tahu... nak makan.... kau boleh makan
D819:	Lekas dimakan, kalau tidak benda tu sejuk..... tengok lauk dah sejuk dah tu.

A820:	Eh... makan petang ke tidak kita ni.
A821:	Mana kicap Long... sini Long... ambil Long.
A822:	Ni dah pukul berapa... dari KL pukul 2 ke?
B823:	Memang padanlah tu... pagi... keluar pagi.

A824:	Ni ada cermin mata atuk....
A825:	Woi hati-hati (budak-budak datang ke nenek mereka).
B826:	Nasib baiklah mata saya terang.
A827:	Woi aku nak lalu ruang.
B828:	Long, Long ikut depan.
C829:	(Budak-budak) ... ni kasut siapa ni?
B830:	Ala pakai aje nak... nanti letak kasut balik kat situ.

C831:	(Situasi budak menangis).
A832:	Laa... kenapa ni, meh... meh sayang.
B833:	Kenapa ni sayang, siapa yang buat.
C834:	Budak Faizal tu.
A835:	Faizal, nanti Mak pukul dia.
A836:	Eh, Faizal, mari sini.
A837:	Mana Faizal?
B838:	Mak dia baru nak makan nak, naik... naik.
A839:	Nanti Mak pukul dia ya nak.
B840:	Dia nak jadi kuatlah tu (Mak Faizal).
A841:	Nadia... Nadia, tolong ambilkan Tuk Na bantal sayang.
B842:	Takpe... takpe.
A843:	Baring Mak Na, nak guna tenaga banyak... (ketawa).
A844:	Eh, ada ke bantal ni... bantal dalam tu....

A845:	Bila kau cerita pasal yang semalam tu, aku teringat dan tak boleh tidur.
B846:	Eh, Nora, aku nak tanya kau ni... macam mana tiba-tiba dia kan pakai telekung, muka terdedah?
C847:	Dia memang pakai telekung... tengah hari... kat surau
B848:	Habis muka...
C849:	Tutup... aku tengok sekali gus... tak dapat tidur aku.
B850:	Tapi kalau tidur pun tak payah tutup muka... sebab kita kan pakai telekung... mata terbuka.
C851:	Memanglah... jumpa hantu... pasal tangannya siap goyang-goyang.
B852:	Nasib baiklah 2 orang, kalau kau tengah baca Yasin kat situ, lagi kau takut.
A853:	Haa... budak perempuan dua orang tu buat apa.
C854:	Berbual.
A855:	Perasaan kau, diorang berbual.
C856:	Eh... eh... Long ni.
A857:	Betullah.

A858:	Sarah sorang yang cukur jambul ni.
B859:	Ha... ah.
B860:	Sarah sorang.
A861:	Ada ke jambul tu.
B862:	Entah, tumbuh macam serai.
A863:	Habis timbang, habis bersepai.
A864:	Duit tu nak bagi macam mana.
B865:	Orang yang potong jambul 7 orang.
C866:	Berapa ringgit... dua ringgit sorang... takde duit keraslah
A867:	Ntah... dulu seringgit Tok... dah nak yea
C868:	Mana naik... murah... seringgit dulu ada kertas
A869:	Telefon Mus, suruh dia bawa duit baru
B870:	Tak tahu nombor dia... aku belum hafal nombor handphone dia... 013....
A871:	Laki dia kan ada handphone?
B872:	Tak delah, gaji pun cukup-cukup.

A873:	Kenapa Emi, macam demam aje Teh?
B874:	Semalam Mus balik lambat ini demam balik.
B875:	Banyak aku buat kerja...
B876:	Mak Na tak nampak.
A877:	Aku malas kerja... laki aku kata aku malas.
B878:	Ha... ah.
B879:	Kalau kat sekolah ada maulud nabi... aku datang kopek kentang.
B880:	Ngelat... dia kopek mata tak berair... kata budak-budak... macam nak balik aje.
B881:	Itu pun dia kata aku malas.
A882:	Eh, aku kat rumah buat kerja... kau ingat aku tak buat kerja ke?

A883:	Lah!
A884:	Dah terlungup Simah ngetape suara kita.
B885:	Tak pe.
B886:	Susah benar, orang rewang asyik hilang aje.
B887:	Tak dapat nak buat tompang.
C888:	Dia nak buat kata panggilan.
D889:	Kata panggilan apa, Andak...
C890:	Ntah yea.
B891:	Data ni aku bawa ke Bangkok ni.
B892:	Aku pergi... jauh aku terbang... modal... modal aku bercakap.

A893:	Oh... nak 7 je tok.
A894:	Nanti saya tanya pada Zaha... ada tak dia duit keras... tak de juga.
B895:	Kalau aku tukar duit kan...
B896:	Mak Na... ada tak duit kecil.
C897:	Minta maaflah.. duit saya semua 100... (ketawa).
A898:	Kata nenek, itu sahaja sekeping 100 dia dapat dahulu.
B899:	Tak tukar-tukar.

A900:	Ni hah baju adik... mana baju adik... bangun nak.
B901:	Ndak.... Ndak, eh ndak pula, Cik anak kau tertanggal puting dia.
A902:	Aku suka tengok budak hisap tetek.
B903:	Dia patutlah banyak susu, puting dia besar... aku kecil aje, ni hah.
A904:	Dia tak kisah kecil... besar.
A905:	Tengok Atuk... buat sini... ketat ikat tak.
B906:	Atuk Usu ni, kan, dia pandai... senang ni Mak.
C907:	Tok Awi tu pandai buat dodol.
B908:	Kalau buat wajik... itu Cik Zainab.
A909:	Tok Andan pangkat ni apa Tok.
B910:	Boy friend kot.
A911:	Dia dah ada... aku awal dah undur dah.
B912:	Atuk macam dah menyesal aje.
A913:	Tak delah.

A914:	Tok.... Atuk Andan tu pangkatnya apa.
A915:	Macam Tok Awi... Atuk Andak.
A916:	Apa pangkat dia Tok?
B917:	Mak Teh.
A918:	Oooo... tapi tak pernah panggil pun.

A919:	Banyak menantu Tok Mak, ye Din .
A920:	... saya tak reti bawa motor.
B921:	Ha... ah... tak pe saya boleh hantar.
C922:	Eh nak buat apa pergi rumah Mak Ngah.
A923:	Menantu Tuk Mak kan rajin, pergi ambil ayam, pergi pasar (suara lain).
D924:	Eh... eh ni Tam... Tam... senget.

A925:	Api ada kalau nak masak.
B926:	Mak Nah... dia take 5 dulu, dia rehat kejap.

A927:	Habis tu Tok ni... macam mana Su.
B928:	Tok ni... tu Tok Chik.
B929:	Mak Nah tu... Tok Along... Pak Ajis... Pak Itam... Pak Aim, Pak Anjang... abang kepada Nek Su.
B930:	Hah Mak Long, apa cerita dia.
A931:	Menangislah.
A932:	Pak Long baru meninggal.
B933:	Tak tinggalkan dia duit kot.

A934:	Pak Aim mana ni... ?
B935:	Tidur rumah Toni dengan bini Norasiah.
A936:	Pak Aim duduk mana?
C937:	Duduk Johar kot.
B938:	Duduk rumah setinggan dengan bininya kot.
A939:	Kata dah bercerai.
B940:	Ada lagi, kahwin dengan orang Indonesia.
A941:	Teh... dia datang rumah Mak Long kan, muka berjambang semua ke Teh?
B942:	Ha... ah.
D943:	Kan Pak Long pergi menyiasat, orang kata dia minta sedekah kat jejantas Johor?
B944:	Ya Allah...
B945:	Ya Tuhanku, betul ke?
B946:	... dah tu?
D947:	Dia ada berhutang dengan adik-beradik Long Mat.

A948:	Bang... Bang...
A949:	I tak bolehlah.
A950:	Cuba you tolong I tengok kaset tu.
B951:	Kenapa jerit-jerit, nantilah Abang tengokkan.
C952:	Baru-baru ni jumpa Mak Long... lepas tu duduk lama, dia tanya "Mana Long Atan?
C953:	... dia kata tak de dah.
C954:	Eh engkau ni tak tahu ke... kan Long Atan dah meninggal... menangis".
A955:	Eh... sayang... Cik anak kau.

A956:	Kau tengok budak-budak sekarang.
B957:	Kalau aku dulu, dah lama suruh cikgu duduk.
A958:	Kalau pergi bandar, terjumpalah cikgu... tak ikut lorong itu... cuba ikut jalan lain.
C959:	Tapi kalau budak pandai... lain juga... dia hormat cikgu.
B960:	Tapi kalau budak Cina tak de perasaan buruk.
B961:	Walaupun dia pandai.
C962:	Dia tak ambil ilmu agama... pulak.
C963:	(menyampuk).
D964:	Uda... anak engkau.
A965:	Kalau anak Cina kat KL... tapi semuanya hormatkan cikgu dia.
A966:	Tapi kalau kat sini... janganlah... mak bapak dia pun datang.
B967:	Nyusahkan kita... ha... ah.
B968:	Lihat sekolah anak Mak Oni tu, cikgu perempuan kena tendang tang perut... anak dara.
C969:	Ya Allah... cikgu sekolah aku pun kena tendang...
C970:	Cina perempuan tendang dia.
B971:	Ya Allah.
C972:	Cikgu sandaran, dia tak buat medical report.
B973:	Kalau I pergi medical report, kenakan aje orang macam tu, kita kan nak 'mandaikan' orang.
B974:	Besok dah tua menyesal.
A975:	Eh... kenapa Cina tak datang ni...
A976:	Ecah juga kup tak datang.
A977:	Anak dia dua kan... laki-laki... adik-beradik tu.
A978:	Eh dia orang panggil kau apa ni?
B979:	Siapa....
B980:	Ooo....
A981:	Anak-anak Ecah.
B982:	Ucu.
A983:	Anak kau panggil Adip.
A984:	Liza... Liza... ye... orang moden ye
B985:	Dia sorang lain, panggil Auntie... dia tak mahu Mak Uda... ketinggalan.
A986:	Dia tak nak panggil Mak Uda Chah... banyak kelebihannya
B987:	Dia panggil Auntie Jah.
A988:	Habis tu laki dia.
B989:	Uncle.
A990:	Ni yang nak cari gelaran aku ni.
A991:	Pak Ngah... Mak Ngah... ni hipotesis aku.
A992:	Sebab orang Johor memang kekal dengan panggilan.
A993:	Orang Kelantan dan Terengganu dah tak de.
A994:	Sebab tu aku siap merakam ni.
A995:	Jadi satu Malaysia kita dapat.
A996:	Maslida pergi Terengganu.
A997:	Harishon pergi Kedah...
A998:	Kedah Utara...
A999:	Orang Dewan jaga tengah... dia pergi Kuala Kubu Baru.

A1000:	Tam baik-baik... belakang kau tu Tam.
A1001:	Kau nak masak apa?
A1002:	Tam... dah nak goreng dah.
B1003:	Banyak ke nak goreng pisang?
C1004:	Banyak... setandan.
C1005:	Banyak... Mak Long kata Mak Nah pukul 6, dia nak balik rebus aku punya.
A1006:	Kenapa nak balik pukul 6?
C1007:	Ha... ah nak kunci pintu... tak bagi dia balik.
A1008:	Semalam nak balik... tak bagi balik... eh apilah.
C1009:	Aku nak kunci pintu... takut Mak Nah tak boleh balik.
A1010:	Dah 2 hari tak jumpa Pak Abu!
D1011:	Tak payah baliklah... kalau balik pun bukan boleh buat apa.

A1012:	Pukul satu Shimah telefon Johor... telefon hotline... cakap tak ada api.
A1013:	Dia bukak sekejap.
A1014:	Kita kalau tak de api... telefon.
A1015:	Nanti dia buka sekejap.
A1016:	Agak-agak benda tu baru tak boleh... baru dia padam betul.
A1017:	Lepas tu kan dah tak larat, panas... budak dah menangis... pukul 5 telefon... lagi semula.
B1018:	Rumah Uda ni, dekat 20-30 budak-budak.
A1019:	Buka pintu tidur semalam.
C1020:	Mak Nah dan Pak Usu pun tidur... lucu... berebut aku lari... pindah.

A1021:	Eh... epok-epok ni nak makan bila?
B1022:	Sarapan besok.
A1023:	Oh yang hantar rumah Mak Ngah tu.
A1024:	Habis kita orang KL nak juga kot.
A1025:	Aku nak ngetge orang lelaki... tak cakap dia orang merayap-merayap.

A1026:	Eh... tak payah beli periuk mahal-mahal.
A1027:	Pergi pasar tani beli aje.
B1028:	Cik ada tau, tak pernah pakai.
B1029:	Ada kat setor rumah.

A1030:	Kenapalah Maisarah ni... tak nak tidur, suka tengok orang masak.
A1031:	Anak aku ni glamerlah, tak nak tidur, tengok orang masak.
A1032:	Marah Mak Ida kot.
B1033:	Kenapa?
A1034:	Tak tolong masak.
A1035:	(sampuk).
C1036:	Tam... Tam sini Tam, ambik tunggu dia satu.
A1037:	Teh... teh... ambilkan kuih koci Teh... nak rasa... kang tinggal dulang aje.
A1038:	Sarah tidur sayang... tidur nak.

A1039:	Besarkan sikit api tu Mak Long.
B1040:	Ha... ah.
B1041:	Mak Long, kecil sangat Mak Long.
C1042:	Macam mana besar lagi.
B1043:	Bukak 2-2... itu tutup.
A1044:	Kalau Along bukak macam tu juga...
A1045:	Along buka semua sekali.

A1046:	Hari tu sampai rumah pukul berapa Mak Long.
B1047:	Pukul lapan.
A1048:	Dia orang ke mana?
C1049:	Pergi check darah... ambik darah.
C1050:	Anak aku sebelum check darah tu.. petang duduk rumah... bawa kayu... aku geram.
C1051:	Tak aku tak mahu tidur... terus tidur.
A1052:	Ngantuk Mak... pergilah... kalau nak tidur.
B1053:	Orang nak suap tak nak... makanlah sendiri.
C1054:	Siapa buat ibu roti?
B1055:	Mak Wi.
A1056:	Pun... Pun... Pun mana Kak Long?

1057	(suara budak)
A1058:	Tok... tok... Sikin nak air.
B1059:	Air apa?
A1060:	Air sejuk.
B1061:	Som anak kau tu.
C1062:	Nak apa?
B1063:	Nak... nak air tu.
A1064:	Mana Long tadi... Long.
B1065:	Ye, Nah, mana Poni tadi.... dah pergi balik dah.

A1066:	Satu kuali lagi Jah, yang besar sikit, kat belakang tu.
B1067:	Ada apa Mak Anjang.
C1068:	Tak delah... tambah minyak aje.
A1069:	Rasa dulu.
A1070:	Hei!
A1071:	Long, nilah besen ni.
A1072:	Kalau nak salin letak situ... letak sekali arong aje.
B1073:	Kan besen tu tak sama besar.

A1074:	Ada Long dulang, Long.
B1075:	Mana dulang Long.
B1076:	Tak de.
C1077:	Ni hah, tepi ni hah.
C1078:	Ni pinjam, siapa punya ni, pinjam dulang dulu.
A1079:	Kalau dia telefon Mak Ngah, suruh dia telefon rumah Simah.
B1080:	Dah... dah cakap semalam dia ada telefon.

A1081:	Ani pusing ambil garam ni.
B1082:	Ambil apa Uda?
A1083:	Garam.
A1084:	Masuk dalam gulai aje.
A1085:	Hah tu dalam plastik, bawa sini mintak sebungkus.
















